strain,phage,interaction
GCA_019833565.1,ABCFXN010000047.1,1
GCA_019548495.1,ABBUWX010000054.1,1
GCA_012138965.1,AARSZA010000032.1,1
GCA_020550465.1,AAZSZX010000056.1,0
GCA_014515425.1,DABSFD010000056.1,1
GCA_016559025.1,RRIU01000055.1,0
GCA_011842445.1,AAQYUZ010000031.1,1
GCA_035885735.1,ABPWPB010000045.1,1
GCA_958327115.1,CATTYN010000064.1,1
GCA_014440105.1,AARSYV010000063.1,0
GCA_011839045.1,DAJHFE010000062.1,0
GCA_021521835.1,DABUKJ010000039.1,0
GCA_029600735.1,CATUNA010000011.1,0
GCA_028522985.2,ABKMRK020000040.1,1
GCA_012352725.1,ABBNDH010000036.1,0
GCA_000778965.1,AAQWZS010000064.1,0
GCA_031765695.1,AARTJH010000063.1,0
GCA_034312125.1,OOHI01000059.1,0
GCA_002018815.2,MWIQ02000034.1,1
GCA_012879775.1,AAWOMO010000031.1,0
GCA_003774385.1,ABFJRM010000082.1,0
GCA_012921595.1,DABFTR010000079.1,1
GCA_025233235.1,ABIHMI010000032.1,1
GCA_023718895.1,JAKYNZ010000048.1,1
GCA_012808135.1,DABDTR010000049.1,1
GCA_025429905.1,DAMVUY010000065.1,0
GCA_958319985.1,ABCJUP010000061.1,0
GCA_021468445.1,JAEHAO010000022.1,0
GCA_025424475.1,ABIMAG010000033.1,1
GCA_032814165.1,AAXREQ010000089.1,0
GCA_011900695.1,AARDXH010000067.1,1
GCA_000692555.1,KK736377.1,1
GCA_032364935.1,JBBGHX010000068.1,0
GCA_014954045.1,AAWNJZ010000031.1,1
GCA_012145005.1,AARTJH010000047.1,1
GCA_012136745.1,AARSXB010000032.1,1
GCA_012217325.1,AARZJF010000048.1,1
GCA_026261085.1,DAJXYY010000109.1,1
GCA_021539855.1,NLHS01000330.1,0
GCA_011853005.1,DAOEED010000065.1,0
GCA_012011825.1,DADYAI010000049.1,0
GCA_032701825.1,DAFNFZ010000083.1,0
GCA_946665645.1,ABBXVA010000019.1,0
GCA_028130115.1,ABKIAY010000031.1,1
GCA_020208285.1,AAQYPH010000033.1,0
GCA_013674055.1,JAJFOQ010000063.1,0
GCA_000503255.1,AYQF01000059.1,1
GCA_022363055.1,ABFDPD010000051.1,1
GCA_012120615.1,AARRPN010000099.1,1
GCA_028031185.1,DAMWDL010000046.1,1
GCA_023324765.1,ABGDCF010000031.1,1
GCA_002464435.1,ABDOXY010000051.1,0
GCA_011917395.1,AARDEW010000031.1,1
GCA_012262305.1,AASBRZ010000094.1,1
GCA_012433755.1,JHFJ01000026.1,0
GCA_023720185.1,JAKYVA010000048.1,1
GCA_033980355.1,ABCXNV010000041.1,0
GCA_028743015.1,ABKRXF010000056.1,1
GCA_028249915.1,DANBAN010000058.1,1
GCA_031310255.1,ABJFPV010000030.1,0
GCA_014816185.1,AARPQH010000121.1,0
GCA_011902045.1,AARDLD010000068.1,1
GCA_012440165.1,AATEJY010000071.1,0
GCA_012566485.1,AASTOL010000043.1,1
GCA_011825455.1,AAQXRY010000031.1,1
GCA_017106925.1,AAZBWF010000055.1,1
GCA_003752825.2,BJQR01000018.1,0
GCA_013182785.1,AASHUC010000074.1,0
GCA_012791535.1,CATRZM010000061.1,0
GCA_011842625.1,AAQYUP010000109.1,1
GCA_001571885.1,LPYE01000099.1,1
GCA_017943285.1,DADUQJ010000143.1,0
GCA_012053805.1,AARNDC010000044.1,1
GCA_900480175.1,AAZEIF010000064.1,0
GCA_023903075.1,AASQCL010000032.1,0
GCA_012335915.1,DANBAN010000058.1,0
GCA_011967905.1,AARIIK010000060.1,1
GCA_005395625.1,DAJOVY010000131.1,0
GCA_014543905.1,AATVEY010000031.1,0
GCA_012508675.1,AASREL010000035.1,1
GCA_037175945.1,ABQRZS010000052.1,1
GCA_020370805.1,ABDBUB010000064.1,1
GCA_012649745.1,ABEDGX010000077.1,0
GCA_025832865.1,JAOSXC010000069.1,1
GCA_026081255.1,DAPJCC010000036.1,0
GCA_026110335.1,AASVCY010000032.1,0
GCA_032828355.1,ABLDRM010000052.1,0
GCA_031732115.1,JAVMQE010000061.1,1
GCA_012629905.1,AARRQF010000058.1,0
GCA_011970855.1,AARIRH010000041.1,1
GCA_008041195.1,AAZSGM010000010.1,0
GCA_014710675.1,ABCYCD010000022.1,0
GCA_900169935.1,FWEF01000079.1,1
GCA_014441485.1,AATCON010000057.1,0
GCA_012826135.1,ABAUIN010000038.1,0
GCA_012266705.1,AASBWQ010000175.1,1
GCA_024845385.1,ABHSCA010000022.1,1
GCA_018936635.1,ABAWNS010000032.1,1
GCA_002734685.1,BEJE01000004.1,1
GCA_005043425.1,RRIU01000070.1,1
GCA_011849805.1,AAQZLL010000071.1,1
GCA_011930805.1,ABIYYG010000061.1,0
GCA_012612185.1,AASWPI010000066.1,1
GCA_012508675.1,ABCTDV010000046.1,0
GCA_023165405.1,DAHLWK010000032.1,0
GCA_003290595.1,PJFJ01000071.1,1
GCA_011945645.1,AARGJC010000038.1,1
GCA_012150085.1,AARTTO010000053.1,1
GCA_011832815.1,ABQDMQ010000048.1,0
GCA_011857085.1,ABPBZL010000034.1,0
GCA_014435985.1,AAVVDF010000060.1,1
GCA_032947355.1,ABOFUM010000072.1,1
GCA_011822355.1,ABLBXC010000093.1,0
GCA_032420785.1,ABNKOX010000043.1,1
GCA_025803275.1,ABIYFU010000059.1,1
GCA_012499465.1,AASQSM010000095.1,1
GCA_000937095.2,LM996988.1,1
GCA_023097395.1,ABDMHU010000032.1,0
GCA_018533885.1,ABAPZO010000047.1,1
GCA_012703165.1,AASDMZ010000093.1,0
GCA_012133435.1,AARSNF010000046.1,1
GCA_014340535.1,AAVPNU010000047.1,1
GCA_031700735.1,AAUDWG010000047.1,0
GCA_016837645.1,JAFCNJ010000039.1,1
GCA_015079355.1,AAWTSX010000071.1,1
GCA_034530215.1,JAXRBV010000274.1,1
GCA_015236035.1,ABLBJJ010000029.1,0
GCA_961210625.1,CAUISR010000037.1,1
GCA_024301825.1,ABHCYJ010000036.1,1
GCA_012314265.1,ABJULO010000049.1,0
GCA_012435675.1,ABNPUD010000034.1,0
GCA_012588965.1,LOFJ01000024.1,0
GCA_026670035.1,ABJRHB010000063.1,1
GCA_002769695.1,DADUJB010000070.1,0
GCA_017740215.1,JAIQLI010000029.1,0
GCA_012279835.1,AASCHE010000049.1,1
GCA_033980055.1,ABPFBJ010000033.1,1
GCA_031731915.1,JAVMPV010000042.1,1
GCA_028249915.1,ABAYNT010000072.1,0
GCA_024891135.1,ABHUXB010000070.1,1
GCA_025307595.1,ABIIKA010000053.1,1
GCA_015597875.1,AAXJJR010000044.1,1
GCA_027262755.1,VEVC01000034.1,0
GCA_014751925.1,JAEGJB010000050.1,0
GCA_910573645.1,AASFUM010000063.1,0
GCA_012555805.1,AASSUW010000127.1,1
GCA_033056855.1,DAQNFS010000013.1,1
GCA_012155725.1,AATIRS010000085.1,0
GCA_012581715.1,JADIHL010000071.1,0
GCA_026721905.1,DAKRXG010000103.1,1
GCA_020273505.1,AARSEM010000086.1,0
GCA_003255165.1,QFSO01000317.1,1
GCA_018415235.1,ABANCE010000055.1,1
GCA_015159975.1,AARWOI010000063.1,0
GCA_025045815.1,AAVZYA010000034.1,0
GCA_019679995.1,ABBZTO010000056.1,1
GCA_011837965.1,DAHCBF010000094.1,0
GCA_014451065.1,DALAIQ010000034.1,0
GCA_012138665.1,AASNDC010000030.1,0
GCA_023826155.1,DAHLWK010000032.1,1
GCA_012440245.1,AASNCZ010000059.1,1
GCA_019468865.1,ABBPRS010000072.1,1
GCA_011850765.1,AAQZMJ010000073.1,1
GCA_016768515.1,JABEFW010000044.1,1
GCA_020329295.1,AARLHO010000027.1,0
GCA_018771005.1,DADFQP010000076.1,0
GCA_018136375.1,AAWOMM010000029.1,0
GCA_038077395.1,JARHRW010000038.1,1
GCA_012010805.1,DADGNH010000141.1,0
GCA_022020355.1,ABGEDQ010000053.1,0
GCA_005046555.1,ABGGDU010000052.1,0
GCA_033598655.1,ABOTOL010000072.1,1
GCA_000619625.1,QHAN01000152.1,0
GCA_000304815.2,ABNZRJ010000058.1,0
GCA_002485525.1,JSLW01000010.1,0
GCA_900196355.1,AARHYI010000064.1,0
GCA_012219345.1,AARZYF010000034.1,1
GCA_021307905.1,ABELZY010000044.1,1
GCA_012344895.1,DAJOYH010000027.1,0
GCA_020373565.1,ABDBZK010000019.1,1
GCA_005042885.1,RRKH01000053.1,1
GCA_916160225.1,AAYGTR010000031.1,0
GCA_012850635.1,AATKAA010000029.1,1
GCA_000619485.1,JAREMT010000046.1,0
GCA_013074805.1,AATRAY010000071.1,1
GCA_013615395.1,AAUEIR010000031.1,1
GCA_015340825.1,AASADY010000063.1,0
GCA_024725025.1,ABHODW010000033.1,1
GCA_013745645.1,AARIJP010000034.1,0
GCA_012431025.1,AASMMD010000034.1,1
GCA_027887535.1,JANWOU010000145.1,1
GCA_014992545.1,ABDZLD010000048.1,0
GCA_012421525.1,RDCM01000058.1,0
GCA_958303905.1,PQPL01000050.1,0
GCA_012903605.1,NMID01000058.1,0
GCA_903977015.1,DAMWNP010000048.1,0
GCA_012795675.1,AAZBVW010000049.1,0
GCA_012059025.1,AARNOA010000031.1,1
GCA_018322865.1,BHPH01000066.1,1
GCA_008635585.1,DAFNTI010000003.1,0
GCA_911104115.1,CAJVKJ010000025.1,1
GCA_018260795.1,ABCZBR010000078.1,0
GCA_031032165.1,ABLWCZ010000033.1,1
