host_accession	phage_contig	interaction
GCA_958327115.1	CATTYN010000064.1	1
GCA_000778965.1	AAQWZS010000064.1	0
GCA_002018815.2	MWIQ02000034.1	1
GCA_012808135.1	DABDTR010000049.1	1
GCA_032814165.1	AAXREQ010000089.1	0
GCA_000692555.1	KK736377.1	1
GCA_012145005.1	AARTJH010000047.1	1
GCA_011853005.1	DAOEED010000065.1	0
GCA_946665645.1	ABBXVA010000019.1	0
GCA_000503255.1	AYQF01000059.1	1
GCA_028743015.1	ABKRXF010000056.1	1
GCA_012791535.1	CATRZM010000061.1	0
GCA_001571885.1	LPYE01000099.1	1
GCA_026110335.1	AASVCY010000032.1	0
GCA_031732115.1	JAVMQE010000061.1	1
GCA_008041195.1	AAZSGM010000010.1	0
GCA_005043425.1	RRIU01000070.1	1
GCA_011945645.1	AARGJC010000038.1	1
GCA_011832815.1	ABQDMQ010000048.1	0
GCA_000937095.2	LM996988.1	1
GCA_012555805.1	AASSUW010000127.1	1
GCA_011837965.1	DAHCBF010000094.1	0
GCA_019468865.1	ABBPRS010000072.1	1
GCA_000619625.1	QHAN01000152.1	0
GCA_000304815.2	ABNZRJ010000058.1	0
GCA_916160225.1	AAYGTR010000031.1	0
GCA_000619485.1	JAREMT010000046.1	0
GCA_958303905.1	PQPL01000050.1	0
GCA_911104115.1	CAJVKJ010000025.1	1
GCA_012690745.1	AATATM010000024.1	1
GCA_001285845.1	CYBY01000064.1	1
GCA_012198215.1	AARXUJ010000073.1	1
GCA_024885255.1	ABFDQB010000062.1	0
GCA_031731895.1	JAVMPS010000022.1	1
GCA_002190835.1	LYAA01001929.1	1
GCA_002972255.1	ABRVOR010000046.1	0
GCA_026670475.1	ABJRHU010000034.1	1
GCA_019181925.1	CACSZR020000025.1	0
GCA_028633155.1	JAPUPW010000024.1	1
GCA_001520495.1	LQTS01000179.1	1
GCA_037575485.1	ABCOKR010000032.1	0
GCA_013075875.1	AATRDL010000058.1	1
GCA_001039145.2	ABAANC010000028.1	0
GCA_022664555.1	JAKSXQ010000037.1	1
GCA_025173285.1	ABIFDT010000035.1	1
GCA_012198215.1	AARXUJ010000063.1	1
GCA_026110335.1	ABJIAJ010000073.1	1
GCA_036293865.1	RMHS02000055.1	0
GCA_019003105.1	AAXAGB010000030.1	0
GCA_015339925.1	ABHR01000053.1	0
GCA_958327115.1	CATTYN010000033.1	1
GCA_019867465.1	ABCGVC010000085.1	1
GCA_958336805.1	AAQYWN010000052.1	0
GCA_902840925.1	SJHT01000018.1	0
GCA_025027025.1	ABIBEU010000081.1	1
GCA_008756995.1	AAUKOF010000062.1	0
GCA_001440685.1	LKPL01000258.1	1
GCA_002134265.1	ABAMFW010000084.1	0
GCA_013128255.1	DAOWXV010000068.1	0
GCA_036458665.1	BEQZ01000161.1	0
GCA_000477495.2	AVQX01000089.1	1
GCA_958312385.1	CATRTW010000087.1	1
GCA_025875965.1	DAJQJJ010000118.1	1
GCA_904842605.1	CAJGWL010000033.1	1
GCA_030907525.1	JAVFIO010000036.1	1
GCA_027220525.1	DAJAOV010000022.1	0
GCA_031731895.1	ABPDOD010000059.1	0
GCA_011944185.1	RRTU01000099.1	0
GCA_023190235.1	AARCUU010000042.1	0
GCA_008326445.1	ABBQWV010000032.1	0
GCA_012493885.1	DADZZG010000006.1	0
GCA_001265815.1	CADHKT010000156.1	0
GCA_000462045.2	ABPFMJ010000045.1	0
GCA_020323815.1	ABCZID010000026.1	1
GCA_000215685.3	AARFBX010000032.1	0
GCA_017023195.1	AAYYQO010000032.1	1
GCA_012772875.1	AARPIP010000042.1	0
GCA_031230065.1	DAPHEG010000073.1	1
GCA_000264015.1	AAQXYV010000034.1	0
GCA_002510965.1	NMID01000058.1	1
GCA_014862585.1	JACZOI010000201.1	1
GCA_001265815.1	JHSD01000127.1	1
GCA_027952485.1	ABDBDP010000017.1	0
GCA_023188615.1	DAHBJT010000008.1	1
GCA_015595805.4	ABDDOG010000071.1	0
GCA_001950695.1	CATQNF010000021.1	0
GCA_005038665.1	RRRM01000059.1	1
GCA_011967385.1	AARIHE010000053.1	1
GCA_000171975.1	ABCUWU010000008.1	0
GCA_012474735.1	JABKEY010000346.1	0
GCA_037981385.1	AASNDZ010000031.1	0
GCA_000194335.2	AASDWP010000057.1	0
GCA_009880705.1	WSKC01000017.1	1
GCA_017180335.1	AAAGIV020000076.1	0
GCA_911103945.1	CAUANW010000046.1	0
GCA_000326965.1	KB732134.1	1
GCA_009880745.1	WSKE01000019.1	1
GCA_004171205.1	AASURI010000107.1	0
GCA_022664555.1	ABGYCC010000043.1	0
GCA_036439915.1	MOZB01000044.1	0
GCA_018096105.1	AASUHB010000065.1	0
GCA_013056785.1	AATPVV010000050.1	1
GCA_000358225.2	AQAI01000015.1	1
GCA_958429675.1	AAVVLC010000077.1	0
GCA_019468865.1	DAQCEA010000046.1	0
GCA_002464705.1	NXMZ01000226.1	1
GCA_012091755.1	AARPQH010000168.1	1
GCA_002229875.1	NLNW01000079.1	1
GCA_014816205.1	DABWRA010000114.1	1
GCA_000263955.1	AJVT01000059.1	1
GCA_000467695.1	AVDU01000091.1	1
GCA_016243615.1	AAYBJR010000058.1	1
GCA_014185315.1	DABPHF010000051.1	1
GCA_946665645.1	DAMZIE010000104.1	0
GCA_012390075.1	AASJTY010000033.1	1
GCA_001285105.1	AARSUF010000032.1	0
GCA_902847875.1	CADHIQ010000166.1	1
GCA_019147165.1	JAEAAN010000041.1	1
GCA_014816205.1	DABWRA010000124.1	1
GCA_018096105.1	ABAECE010000063.1	1
GCA_017102655.1	AAZBON010000116.1	1
GCA_012764875.1	ABCUGX010000047.1	0
GCA_002548645.1	NOAV01000039.1	1
GCA_012302805.1	AASFUM010000033.1	1
GCA_011967385.1	AARIHE010000046.1	1
GCA_025089665.1	ABICHZ010000063.1	1
GCA_032362265.1	ABNJDX010000036.1	1
GCA_902841475.1	CADGKA010000120.1	1
GCA_009798535.1	AATXUU010000053.1	0
GCA_946415505.1	CAMKSV010000034.1	1
GCA_026110335.1	DAQBZJ010000034.1	0
GCA_001748605.1	MIVL01000065.1	1
GCA_023685925.1	NWNC01000055.1	0
GCA_001572295.1	DAKBZI010000032.1	0
GCA_018175035.1	DADZZC010000055.1	1
GCA_000782815.1	AAYMTQ010000065.1	0
GCA_012690745.1	ABRTXR010000074.1	0
GCA_023685925.1	AATJFY010000073.1	0
GCA_000446545.2	AIAZ01000123.1	1
GCA_014816205.1	DAGYOR010000059.1	0
GCA_017687575.1	ABFBPO010000061.1	0
GCA_038374365.1	AARTJG010000079.1	0
GCA_033174625.1	JAIHJP010000031.1	0
GCA_012358135.1	DAHJVB010000052.1	0
GCA_023097565.1	AAQZNL010000031.1	0
GCA_902839435.1	CADGCD010000045.1	1
GCA_013076065.1	ABBAWM010000030.1	0
GCA_958312385.1	ABKCBM010000034.1	0
GCA_004171235.1	ABMXGU010000067.1	0
GCA_029430045.1	DABHVH010000035.1	0
GCA_029430045.1	JANAMX010000080.1	1
GCA_012069995.1	DAAYZC010000018.1	1
GCA_012816815.1	AATIDQ010000034.1	1
GCA_946665645.1	CAMPDB010000012.1	1
GCA_025380705.1	DAJIQX010000112.1	1
GCA_002134745.1	NTOH01000055.1	0
GCA_028086395.1	NMIJ01000119.1	0
GCA_016243615.1	JAXACR010000045.1	0
GCA_020621465.1	ABHCWW010000051.1	0
GCA_001309775.1	LECI01000007.1	1
GCA_014437165.1	AAVVGC010000063.1	1
GCA_019885185.1	BGID01000025.1	0
GCA_017908875.1	NLYH01000051.1	0
GCA_903976595.1	CAJDEC010000037.1	1
GCA_014437165.1	AAVVGC010000045.1	1
GCA_029586215.1	AASNDJ010000052.1	0
GCA_012602835.1	DAESYB010000057.1	0
GCA_011829775.1	AAQYAH010000034.1	1
GCA_001749315.1	AARWYE010000061.1	0
GCA_023876205.1	JAKXQF010000086.1	1
GCA_017102655.1	ABDQKL010000050.1	0
GCA_000778395.1	ABHICD010000031.1	0
GCA_038374365.1	ABRTPJ010000070.1	1
GCA_000478705.1	AWFJ01000082.1	1
GCA_000194335.2	RRMG01000042.1	0
GCA_012200045.1	AARYLT010000042.1	1
GCA_030342625.1	JATAQW010000044.1	1
GCA_001749315.1	MIWW01000104.1	1
GCA_000184765.2	JAVFIO010000036.1	0
GCA_001615675.1	LVNJ01000036.1	1
GCA_012638525.1	CAJVAB010000043.1	0
GCA_011975705.1	ABOLFG010000032.1	0
GCA_964006085.1	AASHWY010000051.1	0
GCA_902849825.1	CADHQE010000269.1	1
GCA_012623085.1	AASXJM010000076.1	1
GCA_015337145.1	AAXEQV010000074.1	1
GCA_005043425.1	DABGTM010000053.1	0
GCA_012035705.1	ABDCCM010000027.1	0
GCA_958401745.1	ABAZLD010000032.1	0
GCA_020093655.1	ABCPTO010000092.1	1
GCA_026245325.1	ABJKSG010000074.1	1
GCA_014436445.1	AATGYV010000049.1	0
GCA_021081985.1	JAHVSQ010000034.1	1
GCA_029942545.1	CABWAQ010000050.1	0
GCA_932892245.1	CAKODU010000084.1	1
GCA_014765005.1	ABAWKZ010000032.1	0
GCA_009697365.1	DADGQC010000064.1	0
GCA_013351405.1	SNLR01000089.1	1
GCA_027986615.1	JAPMGI010000041.1	1
GCA_019996265.1	ABMPJJ010000060.1	0
GCA_017023195.1	AAYYQO010000051.1	1
GCA_002971255.1	AARDAB010000098.1	0
GCA_000703205.1	SNTX01000050.1	0
GCA_000622675.2	AATDZA010000067.1	0
GCA_026110335.1	ABJIAJ010000063.1	1
GCA_018348895.1	WSJQ01000022.1	0
GCA_015160385.1	JADDSS010000175.1	1
GCA_024354095.1	JAHASP010000092.1	1
GCA_001592595.1	AASILD010000031.1	0
GCA_000461935.2	ABOREP010000044.1	0
GCA_023884895.1	JAKYHB010000016.1	1
GCA_008756995.1	VZEK01000088.1	1
GCA_023685925.1	DAHJUF010000082.1	1
GCA_020386685.1	ABDCVZ010000080.1	1
GCA_958336805.1	CACSPX020000042.1	0
GCA_012658675.1	AARMSD010000092.1	0
GCA_022489375.1	JAKVRV010000022.1	1
GCA_002001805.1	MOYR01000061.1	1
GCA_000615145.1	AARFFG010000075.1	0
GCA_030392355.1	DAEFNO010000085.1	0
GCA_000249195.2	AIFB01000030.1	1
GCA_000616265.1	JHLQ01000112.1	1
GCA_005397905.1	AARSYW010000070.1	0
GCA_002133605.1	NEND01000052.1	1
GCA_021148205.1	ABEFJU010000053.1	1
GCA_000752555.1	ABCZIC010000075.1	0
GCA_012558145.1	AASSYD010000083.1	1
GCA_012646845.1	ABAOFC010000036.1	0
GCA_013537955.1	AATYBP010000031.1	1
GCA_958304905.1	JAJHOF010000006.1	0
GCA_012330805.1	AAYYQP010000032.1	0
GCA_031094865.1	ABLYGM010000065.1	1
GCA_032411405.1	ABPTIF010000031.1	0
GCA_020375305.1	ABDCCM010000046.1	1
GCA_019840785.1	AARQCX010000041.1	0
GCA_020377005.1	ABDCFW010000065.1	1
GCA_012487755.1	ABCXZK010000024.1	0
GCA_014816205.1	DABWRA010000182.1	1
GCA_012772875.1	AATFHL010000062.1	1
GCA_001440735.1	LKDG01000124.1	1
GCA_002111485.1	DABBIZ010000072.1	0
GCA_958401535.1	CATXQA010000030.1	1
GCA_012714745.1	AATCON010000031.1	1
GCA_025089665.1	ABICHZ010000055.1	1
GCA_017740615.1	AAZTFT010000034.1	1
GCA_014709535.1	DABUWY010000036.1	1
GCA_019366105.1	JAEOIU010000075.1	1
GCA_001942145.1	AAULSN010000020.1	0
GCA_905398295.1	CAJPXN010000017.1	1
GCA_012257465.1	AASBLB010000077.1	1
GCA_024440295.1	RUJF02000064.1	0
GCA_020263925.1	ABCVSP010000036.1	1
GCA_002133745.1	NENZ01000019.1	1
GCA_021047625.1	AAWWIV010000079.1	0
GCA_014765005.1	AAWIUF010000046.1	1
GCA_012886255.1	DANIGK010000079.1	0
GCA_017688595.1	CATUOS010000028.1	0
GCA_009880505.1	DAIVQG010000111.1	0
GCA_012493165.1	NWPW01000040.1	0
GCA_000948955.1	AARTVS010000053.1	0
GCA_025011285.1	DADZZC010000039.1	0
GCA_958333945.1	CATUYO010000035.1	1
GCA_028601605.1	AARPCH010000031.1	0
GCA_012140705.1	AARTBQ010000047.1	1
GCA_020304605.1	ABJRHC010000034.1	0
GCA_012240545.1	AARWWK010000055.1	1
GCA_002486935.1	NNXE01000047.1	1
GCA_009880655.1	DADUCV010000053.1	0
GCA_002144165.1	MBOD01000124.1	1
GCA_036914875.1	JATANH010000024.1	1
GCA_003912995.2	RVJL02000047.1	1
GCA_958429915.1	ABHYTX010000030.1	0
GCA_018175075.1	DABUWY010000039.1	0
GCA_020978485.1	ABEAHH010000020.1	1
GCA_005397905.1	BHZS01000151.1	1
GCA_018175035.1	ABPNIP010000035.1	0
GCA_902848175.1	CADHJY010000003.1	1
GCA_025522795.1	DAJLTS010000104.1	1
GCA_019339045.1	SZKW01000031.1	0
GCA_018118485.1	NXMZ01000185.1	0
GCA_902505465.1	RZDH01000094.1	0
GCA_012114695.1	AARREQ010000053.1	1
GCA_011909265.1	ABJDKQ010000048.1	0
GCA_000242015.1	JH590659.1	1
GCA_001914005.1	AASHBL010000036.1	0
GCA_019840785.1	JAINBR010000040.1	1
GCA_958330885.1	ABBWEE010000015.1	0
GCA_001621545.1	LVSI01000221.1	1
GCA_033186495.1	DAQSUV010000062.1	1
GCA_014078305.1	AARORA010000049.1	0
GCA_013352685.1	AAQXCY010000032.1	0
GCA_017739435.1	AAZTDU010000032.1	1
GCA_002457935.1	JAPZOK010000076.1	0
GCA_903975755.1	AARRFT010000032.1	0
GCA_020910645.1	ABDXBO010000109.1	1
GCA_000622655.2	ABAPZK010000047.1	0
GCA_012126655.1	DAPHJH010000169.1	0
GCA_001266025.1	DADGUQ010000070.1	0
GCA_000777895.1	ABMDCY010000034.1	0
GCA_014365885.1	DABQOP010000076.1	1
GCA_958312385.1	WSRA01000014.1	0
GCA_017119045.1	AAYVCA010000034.1	0
GCA_005045625.1	ABAHLH010000032.1	0
GCA_009361745.1	DADKRI010000076.1	0
GCA_012257465.1	DABDAX010000060.1	0
GCA_014816205.1	DABWRA010000218.1	1
GCA_012358135.1	AASDWP010000057.1	1
GCA_018175035.1	CAJDCB010000041.1	0
GCA_011958825.1	DADGTQ010000033.1	0
GCA_021914425.1	JAETJD010000009.1	1
GCA_014436445.1	AAVVDY010000065.1	1
GCA_012180325.1	DANAXL010000042.1	0
GCA_011832815.1	ABNYOW020000045.1	0
GCA_000326845.1	ANYY01000038.1	1
GCA_014213745.1	ABAXJC010000074.1	0
GCA_021421665.1	BFQK01000140.1	0
GCA_911103945.1	AARUBJ010000052.1	0
GCA_958316795.1	JAWJJR010000055.1	0
GCA_025011285.1	ABIAEH010000030.1	1
GCA_001607975.1	LOGX01000177.1	1
GCA_000948435.1	JXVU01000057.1	1
GCA_001617195.1	LVQW01000033.1	1
GCA_012358135.1	AAVFDX010000034.1	0
GCA_016243615.1	DAIIQH010000064.1	0
GCA_026110335.1	ABJIAJ010000061.1	1
GCA_026110335.1	ABCYXB010000049.1	0
GCA_002457935.1	NJTL01000076.1	1
GCA_958312355.1	AAQWYH010000064.1	0
GCA_015707615.1	CACSPX020000042.1	0
GCA_902844685.1	DAFMKF010000040.1	0
GCA_012500315.1	AASRGS010000066.1	0
GCA_012506895.1	AASRBF010000059.1	1
GCA_025666935.1	AATATJ010000051.1	0
GCA_035967435.1	DABSVU010000061.1	0
GCA_019567115.1	AAVVKP010000051.1	0
GCA_024458955.1	ABHHGX010000079.1	1
GCA_025888755.1	AARKUB010000032.1	0
GCA_918379535.1	ABABKP010000065.1	0
GCA_023887425.1	ABAPWR010000039.1	0
GCA_958331365.1	AASRCL010000046.1	0
GCA_029384635.1	DAQBYV010000027.1	0
GCA_000951955.1	LK985409.1	1
GCA_017908875.1	AAZYYJ010000058.1	1
GCA_002134265.1	NEOQ01000068.1	1
GCA_017032735.1	AARINQ010000044.1	0
GCA_035967835.1	JAYWMU010000070.1	1
GCA_026110335.1	JAAVIW010000050.1	0
GCA_025881525.1	DAJQUA010000104.1	1
GCA_019181925.1	ABBFNI010000069.1	1
GCA_958309145.1	AARDNG010000085.1	0
GCA_911104115.1	ABGUWZ010000030.1	0
GCA_001054845.1	JVMZ01000262.1	1
GCA_021453145.1	DAFLPU010000020.1	1
GCA_026512345.1	ABJORK010000066.1	1
GCA_024458955.1	JAMSJJ010000020.1	0
GCA_011949885.1	AARGPY010000095.1	1
GCA_001284005.1	CXZU01000056.1	1
